degree,Fp,W,Fp_x,Fp_y,Mot_x,Mot_y,Mw_x,Mw_y,Mtotal_x,Mtotal_y,ecc_x,ecc_y,torsion,Tmax,Cmax,Vmax,T_anchor,C_anchor,V_anchor,equip_xo,equip_yo,anchor_xo,anchor_yo,Ix,Iy,Iz,Ixy
222.0,19425.000000000004,-1855.0,12997.862028520824,-14435.588234898385,923877.6470334966,831863.1698253327,-7779.4042693186675,-36008.04068835883,916098.242764178,795855.1291369739,-19.411342689142227,-4.19374893224726,225704.3801433559,3588.900058244987,-3374.0040036360924,1729.3841178884386,2,3,0,63.2261486651227,-69.47988287969261,45.99454402416679,-79.35204356516705,24419.289295951603,22759.282132619825,47178.57142857143,-7896.956574279389
223.0,19425.000000000004,-1855.0,13247.818144214034,-14206.545653952391,909218.921852953,847860.3612296982,-7779.4042693186675,-36008.04068835883,901439.5175836344,811852.3205413393,-19.411342689142227,-4.19374893224726,220210.10292091055,3646.708604360004,-3374.5949117815203,1724.0205882454818,2,3,0,64.42911017166952,-68.36585231302884,47.37242294826064,-78.53724238837454,24143.183870271743,23035.387558299677,47178.57142857142,-7921.112668964374
224.0,19425.000000000004,-1855.0,13493.738846166025,-13973.1756215783,894283.2397810112,863599.2861546256,-7779.4042693186675,-36008.04068835883,886503.8355116926,827591.2454662668,-19.411342689142227,-4.19374893224726,214648.7475678922,3703.319948771286,-3374.173594029438,1718.3487127487315,2,3,0,65.61244594711927,-67.23099684547562,48.735871773417514,-77.69851800674316,23866.403605010277,23312.16782356114,47178.57142857142,-7935.6181080161
225.0,19425.000000000004,-1855.0,13735.549224548688,-13735.549224548691,879075.1503711162,879075.150371116,-7779.4042693186675,-36008.04068835883,871295.7461017976,843067.1096827572,-19.411342689142227,-4.19374893224726,209022.00812701567,3758.7168471149184,-3372.740178717315,1712.37237327775,2,3,0,66.77579553593146,-66.075662165002,50.08447517991719,-76.8361259038445,23589.285714285717,23589.285714285714,47178.571428571435,-7940.455218791469
226.0,19425.000000000004,-1855.0,13973.175621578295,-13493.738846166028,863599.2861546258,894283.2397810109,-7779.4042693186675,-36008.04068835883,855819.8818853071,858275.1990926521,-19.411342689142227,-4.19374893224726,203331.598557622,3812.8824249590225,-3370.2951024773406,1706.095691075954,2,3,0,67.91880457055174,-64.9002001977436,51.417822370097845,-75.95032877266726,23312.167823561147,23866.403605010277,47178.57142857142,-7935.618108016099
227.0,19425.000000000004,-1855.0,14206.54565395239,-13247.818144214038,847860.3612296984,909218.9218529529,-7779.4042693186675,-36008.04068835883,840080.9569603797,873210.8811645941,-19.411342689142227,-4.19374893224726,197579.2522135901,3865.8001829438776,-3366.839110103425,1699.523029335659,2,3,0,69.0411248793556,-63.70496900080264,52.73550719348895,-75.04139643559853,23035.3875582997,24143.183870271736,47178.571428571435,-7921.112668964375
228.0,19425.000000000004,-1855.0,14435.588234898381,-12997.862028520827,831863.1698253329,923877.6470334964,-7779.4042693186675,-36008.04068835883,824083.7655560143,887869.6063451376,-19.411342689142227,-4.19374893224726,191766.7213153409,3917.4540018077705,-3362.3732543243214,1692.6589959585208,2,3,0,70.14241459270485,-62.49033265318009,54.03712827052861,-74.10960576223316,22759.28213261983,24419.289295951603,47178.571428571435,-7896.956574279391
229.0,19425.000000000004,-1855.0,14660.233595827343,-12743.946638140615,815612.5848409993,938254.95013295,-7779.4042693186675,-36008.04068835883,807833.1805716807,902246.9094445911,-19.411342689142227,-4.19374893224726,185895.77641609317,3967.8281472970957,-3356.8988954829647,1685.5084464956471,2,3,0,71.22233824708431,-61.25666114487397,55.32228911482764,-73.15524058503675,22484.187938451974,24694.38349011945,47178.57142857142,-7863.179254441551
230.0,19425.000000000004,-1855.0,14880.413307586148,-12486.149318161031,799113.556362306,952346.4516855135,-7779.4042693186675,-36008.04068835883,791334.1520929873,916338.4109971547,-19.411342689142227,-4.19374893224726,179968.20586253604,4016.9072749591533,-3350.4177011220872,1678.0764872714947,2,3,0,72.28056688728745,-60.00433026417648,56.59059825394327,-72.17859161288739,22210.440135696706,24968.131292874717,47178.57142857142,-7819.821861912089
231.0,19425.000000000004,-1855.0,15096.060301301666,-12224.548596143088,782371.1101531576,966147.8592833066,-7779.4042693186675,-36008.04068835883,774591.7058838389,930139.8185949478,-19.411342689142227,-4.19374893224726,173985.81525008188,4064.676434816217,-3342.9316454762766,1670.368478695415,2,3,0,73.31677816661916,-58.73372148320551,57.841669348625324,-71.179956342523,21938.372243884063,25240.199184687353,47178.57142857142,-7766.937220995098
